2020-03-12 01:51:50.042 http-nio-15016-exec-3 INFO  flowRecorder - 10.71.64.104,userIp:220.249.163.47,F0D17A0E-2306-4513-8196-FEB63B892466,35da50b47a73cb66b480731c25ca16f4,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=00000000-0000-0000-0000-000000000000&platform=ios,
2020-03-12 01:53:05.257 http-nio-15016-exec-15 INFO  flowRecorder - 10.71.64.44,userIp:117.136.101.27,BDDCE8E7-00E2-4834-9508-2FD8DDCB7128,ab650ef36cdd49d98c261108001c9545,tian tian ying qiu/6.5.0 (iPhone; iOS 13.2.3; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=BDDCE8E7-00E2-4834-9508-2FD8DDCB7128&platform=ios,
2020-03-12 01:54:35.424 http-nio-15016-exec-20 INFO  flowRecorder - 10.71.64.105,userIp:183.93.2.205,12562B94-11CC-4339-BB08-77DECF78A874,,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=12562B94-11CC-4339-BB08-77DECF78A874&platform=ios,
2020-03-12 02:01:54.332 http-nio-15016-exec-9 INFO  flowRecorder - 10.71.64.107,userIp:112.50.143.19,87CDBAEF-CB9A-4745-AFDC-50D7388D228B,,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=87CDBAEF-CB9A-4745-AFDC-50D7388D228B&platform=ios,
2020-03-12 02:03:38.878 http-nio-15016-exec-2 INFO  flowRecorder - 10.71.64.45,userIp:180.110.105.42,D3C1C45C-CE63-4211-A011-EECDE8DFB0E4,1de54d83a44608affaa2350938b500aa,tian tian ying qiu/6.5.0 (iPhone; iOS 12.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=D3C1C45C-CE63-4211-A011-EECDE8DFB0E4&platform=ios,
2020-03-12 02:07:28.690 http-nio-15016-exec-11 INFO  flowRecorder - 10.71.64.104,userIp:153.0.1.114,16F12D55-2D05-4399-A74C-A3ED8D57AC15,a2a12c1cf00284cba4c922dcdaf1a065,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=16F12D55-2D05-4399-A74C-A3ED8D57AC15&platform=ios,
2020-03-12 02:11:06.666 http-nio-15016-exec-24 INFO  flowRecorder - 10.71.64.44,userIp:183.131.113.140,9B9EA717-5728-45D8-BE3F-8D88FFF27F08,,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=00000000-0000-0000-0000-000000000000&platform=ios,
2020-03-12 02:12:51.045 http-nio-15016-exec-10 INFO  flowRecorder - 10.71.64.45,userIp:117.136.79.178,9CBD4B9D-FAC7-4C99-AE02-2749C8EC65E9,e88d458973a1b07eb010d81cb9446f1d,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=9CBD4B9D-FAC7-4C99-AE02-2749C8EC65E9&platform=ios,
2020-03-12 02:20:20.658 http-nio-15016-exec-2 INFO  flowRecorder - 10.71.64.45,userIp:113.222.224.45,48592C35-9AD2-4757-84CE-354517678AF4,8c4c17082560e63cdac9ef9691b0d928,tian tian ying qiu/6.5.0 (iPhone; iOS 12.2; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=48592C35-9AD2-4757-84CE-354517678AF4&platform=ios,
2020-03-12 02:22:50.797 http-nio-15016-exec-18 INFO  flowRecorder - 10.71.64.44,userIp:112.3.140.76,0B09E4B0-1F0D-4C64-A3AE-AC42C93E8C39,4e1b7821d78ed690bcf5eb4584481b37,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=0B09E4B0-1F0D-4C64-A3AE-AC42C93E8C39&platform=ios,
